store_id	phone	
2 Jewels	Tel : (361) 242-9292	
23 South	Tel : (973) 590-2500	
23 South Englewood	Tel : (973) 590-2500	
25 Silver Boutique - Colonie Center	Tel : (518) 459-5454	
25 Silver Boutique - Plattsburgh	Tel : (518) 561-3478	
25 Silver Boutique - Queensbury	Tel : (518) 798-0540	
25 Silver Boutique - Stuyvesant Plaza	Tel : (518) 459-4400	
2nd Street Beauty - Belmont Shore	Tel : (562) 279-1400	
2nd Street Beauty - Seal Beach	Tel : (562) 279-1400	
310 Rosemont - Blacksburg	Tel : (540) 982-1987	
5th Street Clothing Co.	Tel : (530) 345-5754	
A & J Jewelers	Tel : (678) 344-1022	
A Gallerie	Tel : (601) 594-7754	
A Line Boutique	Tel : (303) 773-8200	
A Line Boutique - Cherry Creek		
A Little Mad	Tel : (207) 370-1316	
A Silver Breeze	Tel : (347) 218-3983	
A Touch of Class		
A.S. Cooper	Tel : (441) 295-3961	
ARIA Resort & Casino - Elements	Tel : (702) 590-7757	
Accent Prone	Tel : (336) 310-4753	
Accents - The Royal Hawaiian	Tel : (808) 874-9604	
Accents - Sheraton Chicago Hotel	Tel : (312) 379-4420	
Accents - Westin Hotel Copley Place	Tel : (617) 266-5032	
Acori Diamonds & Design	Tel : (281) 482-4755	
Adair	Tel : (704) 960-4966	
Adelaide's Boutique	Tel : (281) 280-0772	
Adorn - Hill Country Galleria	Tel : (512) 215-8684	  
Adorn by Jewelry Girl - Lawrence	Tel : (913) 707-7546	
Adorn Home and Body	Tel : (512) 263-1400	
Adorn by Jewelry Girl Boutique	Tel : (913) 707-7546	
Adornments	Tel : (631) 725-0051	
Alapage	Tel : (603) 622-0550	
Alba	Tel : (201) 857-3628	
Albert's Jewelers	Tel : (219) 322-2700	
Alibi - New Braunfels	Tel : (830) 627-1177	
Alicia L		
Allie Harper	Tel : (251) 709-8382	
Ally's Boutique	Tel : (217) 779-9946	
Alspaugh's Ace Hardware of the Woodlands	Tel : (832) 482-3063	
Alspaugh's Sterling Events	Tel : (281) 361-6550	
