store_id,phone,
2 Jewels,(361) 242-9292,
23 South,(973) 590-2500,
23 South Englewood,(973) 590-2500,
25 Silver Boutique - Colonie Center,(518) 459-5454,
25 Silver Boutique - Plattsburgh,(518) 561-3478,
25 Silver Boutique - Queensbury,(518) 798-0540,
25 Silver Boutique - Stuyvesant Plaza,(518) 459-4400,
2nd Street Beauty - Belmont Shore,(562) 279-1400,
2nd Street Beauty - Seal Beach,(562) 279-1400,
310 Rosemont - Blacksburg,(540) 982-1987,
5th Street Clothing Co.,(530) 345-5754,
A & J Jewelers,(678) 344-1022,
A Gallerie,(601) 594-7754,
A Line Boutique,(303) 773-8200,
A Line Boutique - Cherry Creek,,
A Little Mad,(207) 370-1316,
A Silver Breeze,(347) 218-3983,
A Touch of Class,,
A.S. Cooper,(441) 295-3961,
ARIA Resort & Casino - Elements,(702) 590-7757,
Accent Prone,(336) 310-4753,
Accents - The Royal Hawaiian,(808) 874-9604,
Accents - Sheraton Chicago Hotel,(312) 379-4420,
Accents - Westin Hotel Copley Place,(617) 266-5032,
Acori Diamonds & Design,(281) 482-4755,
Adair,(704) 960-4966,
Adelaide's Boutique,(281) 280-0772,
Adorn - Hill Country Galleria,(512) 215-8684,  
Adorn by Jewelry Girl - Lawrence,(913) 707-7546,
Adorn Home and Body,(512) 263-1400,
Adorn by Jewelry Girl Boutique,(913) 707-7546,
Adornments,(631) 725-0051,
Alapage,(603) 622-0550,
Alba,(201) 857-3628,
Albert's Jewelers,(219) 322-2700,
Alibi - New Braunfels,(830) 627-1177,
Alicia L,,
Allie Harper,(251) 709-8382,
Ally's Boutique,(217) 779-9946,
Alspaugh's Ace Hardware of the Woodlands,(832) 482-3063,
Alspaugh's Sterling Events,(281) 361-6550,
Alter's Gem,(409) 861-3005,
Amara Day Spa,(801) 226-2300,
Amazing Grace,(580) 677-9200,
Ambiance - Haight St.,(415) 552-5095,
Ambiance - Union St.,(415) 923-9796,
Amendolaro,(570) 871-4643,
Anchored in Pink,(401) 619-3928,
Angelina,(847) 882-6802,
Anjali Pollach Design,(212) 579-5570,
Anna Cate Jewelry,(256) 858-1478,
Annie's Baldoria - Salem,(603) 898-1778,
Anthem Home,(415) 440-6500,
Apple Annie's Gift Shop,(601) 942-9915,
Apple's LTD,(601) 795-4546,
Argento Jewelry,(772) 223-5552,
Arizona Biltmore,(602) 955-6600,
Articles,(505) 298-6700,
Ash Boutique,(785) 215-6114,
Ashley Austin,(610) 925-5900,
Ashley's Attic,(979) 542-4345,
Atchison's,(806) 894-8655,
Atlanta West Jewelers,(770) 489-8600,
Audacious Boutique,,
Aurora Jewelers,,
Avenue Jewelers,(920) 731-4740,
Azure,(920) 347-2720,
BOT Boutique ,(850) 215-0212,
Back Down South,(270) 670-2880,
Bangles & Diamonds,(781) 990-1858,
Baribault Jewelers,(860) 633-1727,
Barn Door Boutique,(423) 803-2300,
Baubelles Boutique,(441) 293-2359,
Bay Club Financial District,(415) 362-7800,
Bay Club Golden Gateway,(415) 433-2936,
Bay Club San Francisco,(415) 433-2200,
Bay Club Silicon Valley,(408) 402-7600,  
Bayou Belle's Boutique,(901) 504-8511,  
Beard Fine Jewelers,(936) 637-2848,
Beau Kisses,(281) 395-4445,
Beau Kisses Austin,(512) 249-5100,
Beau Rivage Resort & Casino,(702) 692-1211,
Beautiful Things,(860) 432-9005,
Becky Beauchine Kulka (BBK),(517)347-4000,
Bejeweled,(956) 712-9090,
Bella Boutique - Helena,,
Bella Boutique - Little Rock,(501) 603-5373,
Bella Bridesmaid - Baton Rouge,(225) 246-2106,
Bella Bridesmaid - Charlotte,(704) 817-7547,
Bella Bridesmaid - Kansas City,(816) 361-5700,
Bella Bridesmaid - Lafayette,(337) 456-8080,
Bella Bridesmaid - Little Rock,(407) 432-7787,
Bella Bridesmaid - Palm Beach,(561) 345-3463,
Bella Bridesmaid - San Antonio,(210) 804-1000,
